,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
AMT,515.0,300.0,332.0,A,BB,BB,American Tower Corporation (REIT),0.03802013971395673,0.2400137360366132,1.0,0.15840818255567216
EL,500.0,300.0,300.0,A,BB,BB,EssilorLuxottica Société anonyme,0.2526624343393711,0.2971247314039469,0.0,0.850358141328436
PLD,700.0,330.0,390.0,AA,BB,BB,"Prologis, Inc.",0.3359022381787185,0.2435903556332792,0.0,1.3789636182657952
BA,210.0,225.0,210.0,B,B,B,Bangkok Airways Public Company Limited,0.18009737219878547,0.48897024926841487,1.0,0.36831969320882546
GS,555.0,310.0,344.0,A,BB,BB,"The Goldman Sachs Group, Inc.",0.3241146864020678,0.3077751428054414,0.0,1.053089224320352
CAT,255.0,255.0,263.0,B,B,B,Caxton and CTP Publishers and Printers Limited,0.3812592660075539,0.2992005423583792,0.0,1.274259942854267
DE,545.0,320.0,344.0,A,BB,BB,Deere & Company,0.5724491889130064,0.3108927867357927,4.0,1.8413074002887475
COP,420.0,308.0,543.0,BBB,A,BB,ConocoPhillips,0.5208484951229322,0.42128266001204717,4.0,1.2363397418446744
IBM,245.0,215.0,233.0,B,B,B,International Business Machines Corporation,0.07455316482988125,0.2551958459468797,1.0,0.292140981187444
AMD,205.0,210.0,205.0,B,B,B,"Advanced Micro Devices, Inc.",0.3672915843888151,0.49822763003590287,4.0,0.737196338072113
C,515.0,310.0,301.0,A,BB,BB,Citigroup Inc.,0.0975822479527463,0.3592896226006579,1.0,0.27159773568302226
AXP,210.0,205.0,227.0,B,B,B,American Express Company,0.42037518890473635,0.3688566841086525,4.0,1.139670790894244
RTX,515.0,308.0,310.0,A,BB,BB,Raytheon Technologies Corporation,0.2885120700929833,0.31274561287632563,0.0,0.9225135644255211
HON,517.0,300.0,344.0,A,BB,BB,Honeywell International Inc.,0.212637447994412,0.2553962220499994,0.0,0.8325786743735918
MDT,535.0,320.0,318.0,A,BB,BB,Medtronic plc,0.07497038134701307,0.24183683119776392,1.0,0.31000398481778596
CVS,545.0,318.0,307.0,A,BB,BB,CVS Health Corporation,0.26755435800690924,0.2465462528724782,0.0,1.085209590045147
BMY,530.0,310.0,327.0,A,BB,BB,Bristol-Myers Squibb Company,0.13312527003181363,0.20388407214152107,1.0,0.6529459051583393
NEE,700.0,321.0,381.0,AA,BB,BB,"NextEra Energy, Inc.",-0.239442094014626,0.5882415931325372,1.0,-0.4070472010310177
LOW,203.0,200.0,200.0,B,B,B,"Lowes Companies, Inc.",0.34411009921670727,0.27275278193636354,0.0,1.2616190264816152
UNP,278.0,205.0,242.0,B,B,B,Union Pacific Corporation,0.23726752343710678,0.24160978121340693,0.0,0.9820278063475222
