,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
TRV,500.0,300.0,300.0,A,BB,BB,"The Travelers Companies, Inc.",0.31969313704305796,0.26207801824494764,0.0,1.2198395698500022
AFL,468.0,235.0,300.0,BBB,BB,B,Aflac Incorporated,0.27442476256814774,0.2752031093891427,0.0,0.9971717368211331
SNPS,570.0,305.0,310.0,A,BB,BB,"Synopsys, Inc.",0.38093941347916455,0.34388799377039475,0.0,1.10774269640105
STZ,411.0,280.0,301.0,BBB,BB,B,"Constellation Brands, Inc.",0.2340577698485817,0.2435194708900195,0.0,0.961146018399034
IQV,398.0,326.0,302.0,BB,BB,BB,IQVIA Holdings Inc.,0.28022908350555914,0.26897189299108815,0.0,1.0418526649356779
ROP,570.0,340.0,330.0,A,BB,BB,"Roper Technologies, Inc.",0.1859332521648554,0.2229829657674506,0.0,0.8338450945116838
TEL,200.0,200.0,200.0,B,B,B,TE Connectivity Ltd.,0.3354769848848705,0.2874900308360875,0.0,1.166916932421016
DG,270.0,200.0,248.0,B,B,B,Dollar General Corporation,0.17800052071350772,0.22757831102800133,0.0,0.7821506360138443
JCI,500.0,290.0,300.0,A,BB,B,Johnson Controls International plc,0.4068791754881036,0.26305584350088324,0.0,1.5467406846893992
EMR,600.0,315.0,322.0,AA,BB,BB,Emerson Electric Co.,0.29293775234783415,0.27678890370940773,0.0,1.0583435550414282
EXC,632.0,323.0,512.0,AA,A,BB,Exelon Corporation,0.18534327353677887,0.2920303796563591,0.0,0.6346712069986619
MET,570.0,305.0,300.0,A,BB,BB,"MetLife, Inc.",0.38031128644599116,0.324005358476994,0.0,1.1737808542231105
AON,300.0,243.0,331.0,BB,BB,B,Aon Plc,0.27394773535227185,0.2508093268766839,0.0,1.0922549761754454
GD,500.0,300.0,303.0,A,BB,BB,General Dynamics Corporation,0.34834521255308487,0.23339797623634848,0.0,1.492494571591041
NOC,500.0,300.0,304.0,A,BB,BB,Northrop Grumman Corporation,0.18680118622087274,0.2511543351512943,0.0,0.7437705031384169
PSA,240.0,205.0,257.0,B,B,B,Public Storage,0.38714713418549873,0.22894778483154996,0.0,1.6909844070793048
WM,647.0,290.0,395.0,AA,BB,B,"Waste Management, Inc.",0.2713400720612153,0.19674489947509055,0.0,1.3791466654797273
ETN,520.0,300.0,307.0,A,BB,BB,Eaton Corporation plc,0.33821645064237893,0.26527176813679665,0.0,1.2749809488507868
PGR,346.0,250.0,347.0,BB,BB,B,The Progressive Corporation,0.20198469278579842,0.23440660500143248,0.0,0.8616851593604372
FDX,330.0,275.0,270.0,BB,B,B,FedEx Corporation,0.3271781999653537,0.33648175354596427,0.0,0.9723504960296764
NSC,352.0,335.0,358.0,BB,BB,BB,Norfolk Southern Corporation,0.25036046563871833,0.265153337611575,0.0,0.9442101234474112
MMC,500.0,300.0,300.0,A,BB,BB,"Marsh & McLennan Companies, Inc.",0.26755858751885075,0.19884820938293507,0.0,1.3455418499826448
CI,499.0,343.0,324.0,BBB,BB,BB,Cigna Corporation,0.19242573864192783,0.3059971005135834,0.0,0.6288482417609899
TFC,425.0,305.0,409.0,BBB,BBB,BB,Truist Financial Corporation,0.22563013814834867,0.3790469770490609,0.0,0.5952563977819163
USB,368.0,290.0,300.0,BB,BB,B,U.S. Bancorp,0.23190768513670953,0.34692739217578406,0.0,0.6684617310909962
PNC,420.0,300.0,323.0,BBB,BB,BB,"The PNC Financial Services Group, Inc.",0.2981443406871452,0.3211713904749609,0.0,0.9283029233900242
ZTS,505.0,315.0,362.0,A,BB,BB,Zoetis Inc.,0.19310488246396978,0.2341284542101359,0.0,0.8247817768046831
MO,525.0,366.0,300.0,A,BB,BB,"Altria Group, Inc.",0.2171375743913986,0.22936590352582137,0.0,0.9466863690441848
SYK,500.0,315.0,305.0,A,BB,BB,Stryker Corporation,0.18880079323400656,0.274753440162286,0.0,0.6871644377682383
BKNG,500.0,300.0,302.0,A,BB,BB,Booking Holdings Inc,0.3014656410711644,0.39550323978602897,0.0,0.7622330508196601
TGT,613.0,315.0,352.0,AA,BB,BB,Target Corporation,0.3952555758047671,0.26787482449092276,0.0,1.4755234149230803
NOW,590.0,320.0,334.0,A,BB,BB,"ServiceNow, Inc.",0.233434851114088,0.4089390970916345,0.0,0.570830357806997
ANTM,505.0,300.0,306.0,A,BB,BB,"Anthem, Inc.",0.3503576633557262,0.2863927175818419,0.0,1.2233469702511033
EL,500.0,300.0,300.0,A,BB,BB,EssilorLuxottica Société anonyme,0.2526624343393711,0.2971247314039469,0.0,0.850358141328436
PLD,700.0,330.0,390.0,AA,BB,BB,"Prologis, Inc.",0.3359022381787185,0.2435903556332792,0.0,1.3789636182657952
GS,555.0,310.0,344.0,A,BB,BB,"The Goldman Sachs Group, Inc.",0.3241146864020678,0.3077751428054414,0.0,1.053089224320352
CAT,255.0,255.0,263.0,B,B,B,Caxton and CTP Publishers and Printers Limited,0.3812592660075539,0.2992005423583792,0.0,1.274259942854267
RTX,515.0,308.0,310.0,A,BB,BB,Raytheon Technologies Corporation,0.2885120700929833,0.31274561287632563,0.0,0.9225135644255211
HON,517.0,300.0,344.0,A,BB,BB,Honeywell International Inc.,0.212637447994412,0.2553962220499994,0.0,0.8325786743735918
CVS,545.0,318.0,307.0,A,BB,BB,CVS Health Corporation,0.26755435800690924,0.2465462528724782,0.0,1.085209590045147
LOW,203.0,200.0,200.0,B,B,B,"Lowes Companies, Inc.",0.34411009921670727,0.27275278193636354,0.0,1.2616190264816152
UNP,278.0,205.0,242.0,B,B,B,Union Pacific Corporation,0.23726752343710678,0.24160978121340693,0.0,0.9820278063475222
PM,580.0,333.0,307.0,A,BB,BB,Philip Morris International Inc.,0.18067165135345614,0.22228442843924806,0.0,0.8127949070568162
LIN,60.0,275.0,240.0,DDD,B,B,Lindian Resources Limited,0.29962564483688364,0.24860277807323314,0.0,1.2052385221078272
UPS,510.0,240.0,301.0,A,BB,B,"United Parcel Service, Inc.",0.39131584039226647,0.3054779409264215,0.0,1.2809954106850556
MCD,505.0,300.0,322.0,A,BB,BB,McDonalds Corporation,0.17375722426536494,0.17720296299395216,0.0,0.9805548469936994
DHR,550.0,300.0,347.0,A,BB,BB,Danaher Corporation,0.2539920128732139,0.24934535195483315,0.0,1.0186354422970052
ORCL,560.0,315.0,308.0,A,BB,BB,Oracle Corporation,0.21127628806905957,0.2693912669211323,0.0,0.7842729665431707
TMO,520.0,265.0,330.0,A,BB,B,Thermo Fisher Scientific Inc.,0.29947227272495874,0.26542536183686566,0.0,1.1282730129949632
ACN,580.0,315.0,386.0,A,BB,BB,Accenture plc,0.2899745145900962,0.2512423722165731,0.0,1.1541624608612424
WFC,510.0,305.0,307.0,A,BB,BB,Wells Fargo & Company,0.31480748964675,0.40135893750221674,0.0,0.784354003939457
LLY,515.0,308.0,305.0,A,BB,BB,Eli Lilly and Company,0.37580725058558356,0.32665833560285884,0.0,1.1504596994043295
NKE,205.0,200.0,258.0,B,B,B,"NIKE, Inc.",0.23246691088069793,0.3000028818896715,0.0,0.7748822591850618
ABBV,510.0,309.0,344.0,A,BB,BB,AbbVie Inc.,0.31911767327936746,0.22580012487363416,0.0,1.4132750079653726
KO,200.0,200.0,200.0,B,B,B,The Coca-Cola Company,0.19822243237651577,0.19058260675837493,0.0,1.0400866886442937
CVX,210.0,210.0,217.0,B,B,B,CEMATRIX Corporation,0.32076346958211394,0.3182844427168504,0.0,1.0077887151634015
MA,210.0,215.0,230.0,B,B,B,Mastercard Incorporated,0.19905720619322081,0.3119552554948844,0.0,0.638095376458516
BAC,235.0,260.0,367.0,B,BB,B,Bank of America Corporation,0.27879099927575385,0.3382748833374633,0.0,0.8241551856441902
HD,274.0,210.0,283.0,B,B,B,"The Home Depot, Inc.",0.17981731774217732,0.23424738217367558,0.0,0.7676385369756544
PG,560.0,310.0,422.0,A,BBB,BB,The Procter & Gamble Company,0.17795609963082373,0.16592546928935079,0.0,1.0725062306166706
UNH,500.0,300.0,300.0,A,BB,BB,UnitedHealth Group Incorporated,0.3134586606716205,0.23353737362823054,0.0,1.3422205439828963
