stock_symbol,esg_id,Name,exchange_symbol,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,total_grade,total_level,disclaimer,last_processing_date,environment_score,social_score,governance_score,total
WHR,7739,Whirlpool Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,505,320,300,1125
LUMN,72071,"Lumen Technologies, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",19-12-2021,520,326,338,1184
AOS,29,A. O. Smith Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,505,309,300,1114
HAS,3405,"Hasbro, Inc.",NASDAQ,B,Medium,BB,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,265,327,320,912
CBOE,1409,"Cboe Global Markets, Inc.",AMEX,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,515,307,300,1122
FBHS,2879,"Fortune Brands Home & Security, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,505,302,300,1107
RHI,6143,Robert Half International Inc.,NYSE,B,Medium,BB,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,255,333,310,898
LNC,4324,Lincoln National Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,550,305,308,1163
FFIV,2662,"F5 Networks, Inc.",NASDAQ,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,260,220,215,695
LDOS,4264,"Leidos Holdings, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,540,300,300,1140
NWSA,5067,News Corporation,NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,505,306,310,1121
NWS,71225,News Corporation,NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",19-12-2021,500,301,308,1109
MKTX,4520,MarketAxess Holdings Inc.,NASDAQ,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,255,214,210,679
ABMD,56,"Abiomed, Inc.",NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,500,324,305,1129
