,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
VLO,550.0,348.0,357.0,A,BB,BB,Valero Energy Corporation
IFF,505.0,300.0,304.0,A,BB,BB,International Flavors & Fragrances Inc.
TROW,510.0,310.0,345.0,A,BB,BB,"T. Rowe Price Group, Inc."
AMP,381.0,272.0,311.0,BB,BB,B,"Ameriprise Financial, Inc."
STT,250.0,250.0,321.0,B,BB,B,State Street Corporation
CTVA,617.0,323.0,410.0,AA,BBB,BB,"Corteva, Inc."
ALL,515.0,220.0,300.0,A,BB,B,The Allstate Corporation
GLW,200.0,200.0,200.0,B,B,B,Corning Incorporated
OXY,413.0,300.0,374.0,BBB,BB,BB,Occidental Petroleum Corporation
DVN,385.0,300.0,305.0,BB,BB,BB,Devon Energy Corporation
YUM,510.0,300.0,305.0,A,BB,BB,"Yum! Brands, Inc."
WMB,350.0,300.0,300.0,BB,BB,BB,"The Williams Companies, Inc."
APTV,510.0,305.0,328.0,A,BB,BB,Aptiv PLC
ALGN,235.0,255.0,265.0,B,B,B,"Align Technology, Inc."
WELL,462.0,300.0,315.0,BBB,BB,BB,WELL Health Technologies Corp.
PPG,350.0,260.0,305.0,BB,BB,B,"PPG Industries, Inc."
XEL,277.0,205.0,208.0,B,B,B,Xcel Energy Inc.
DXCM,210.0,210.0,228.0,B,B,B,"DexCom, Inc."
PSX,238.0,330.0,451.0,B,BBB,BB,Phillips 66
MSI,515.0,352.0,325.0,A,BB,BB,"Motorola Solutions, Inc."
CMG,215.0,205.0,213.0,B,B,B,"Chipotle Mexican Grill, Inc."
HPQ,245.0,200.0,212.0,B,B,B,HP Inc.
HLT,342.0,220.0,223.0,BB,B,B,Hilton Worldwide Holdings Inc.
CDNS,540.0,275.0,310.0,A,BB,B,"Cadence Design Systems, Inc."
MCK,500.0,330.0,320.0,A,BB,BB,McKesson Corporation
KMI,485.0,364.0,341.0,BBB,BB,BB,"Kinder Morgan, Inc."
CTAS,500.0,300.0,300.0,A,BB,BB,Cintas Corporation
RSG,286.0,226.0,270.0,B,B,B,"Republic Services, Inc."
SYY,545.0,295.0,353.0,A,BB,B,Sysco Corporation
